SN,Method,Auc,f1-score,Accuracy:,mRMR,TOPSIS
1,CNN,82.33,88,84.39,2,4
2,C + SVM-Sigmoid,73.77,79,74.73,8,8
3,C + SVM-RBF,81.97,88,84.66,3.5,3
4,C + SVM-Poly,81.97,88,84.66,3.5,3
5,C + SVM-Linear,82.57,88,85,1,1
6,C + RF,76.71,81,77.77,6.5,7
7,C + DT,76.71,81,77.77,6.5,7
8,C + KNN,80.5,86,77.73,5,5
