Auc,f1-score,Accuracy:,Rank
82.33,88,84.39,2.0
73.77,79,74.73,8.0
81.97,88,84.66,3.5
81.97,88,84.66,3.5
82.57,88,85.0,1.0
76.71,81,77.77,6.5
76.71,81,77.77,6.5
80.5,86,77.73,5.0
