Auc,f1-score,Accuracy:,distance positive,distance negative,Topsis Score,Rank
99.33,99,99.33,0.0,31.704258389055557,1.0,2
99.33,99,99.33,0.0,31.704258389055557,1.0,2
91.95,93,92.0,9.472533979880989,22.231799297402805,0.7012227351688839,8
98.32,99,98.46,0.8700000000000045,31.034060320879696,0.9727307436342003,6
98.55,99,99.2,0.12999999999999545,31.60349505988222,0.9959033822226426,5
97.92,98,97.93,1.7204650534085184,29.98733065812961,0.9457399981676285,7
98.55,99,99.2,0.12999999999999545,31.60349505988222,0.9959033822226426,5
99.22,99,99.2,0.12999999999999545,31.60349505988222,0.9959033822226426,5
82.33,88,84.39,18.552724867253325,13.20286332580929,0.415765037811317,12
73.77,79,74.73,31.704258389055557,0.0,0.0,16
81.97,88,84.66,18.336000109075044,13.40167526841327,0.4222639216329984,11
81.97,88,84.66,18.336000109075044,13.40167526841327,0.4222639216329984,11
82.57,88,85.0,18.06512939339212,13.655508046206114,0.4304928635878974,9
76.71,81,77.77,28.08618165575378,3.638900932974124,0.11470107044786845,15
76.71,81,77.77,28.08618165575378,3.638900932974124,0.11470107044786845,15
80.5,86,77.73,25.210315349078833,7.615773105863909,0.23200367342936268,13
