AUC,F-1 Score,Accuracy:,Rank
75.11,86,79.42,1.0
68.9,83,75.28,5.0
73.92,86,79.33,2.5
73.92,86,79.33,2.5
73.96,86,79.28,4.0
65.88,81,72.14,8.0
65.92,81,72.16,7.0
69.66,84,72.21,6.0
