AUC,F-1 Score,Accuracy:,distance positive,distance negative,Topsis Score,Rank
75.11,86,79.42,0.0,8.831670283700587,1.0,1
68.9,83,75.28,5.112690094265445,3.7228483718787158,0.42134934799320395,5
73.92,86,79.33,0.09000000000000341,8.757630958198682,0.9898277854913687,3
73.92,86,79.33,0.09000000000000341,8.757630958198682,0.9898277854913687,3
73.96,86,79.28,0.14000000000000057,8.716627788313552,0.9841926291421287,4
65.88,81,72.14,8.831670283700587,0.0,0.0,8
65.92,81,72.16,8.81519143297524,0.01999999999999602,0.0022636747773625834,7
69.66,84,72.21,7.482252334691748,3.0008165555395085,0.2862536330688284,6
