SN,Method,AUC,F-1 Score,Accuracy:,mRMR,TOPSIS
1,CNN,75.11,86,79.42,1,1
2,C + SVM-Sigmoid,68.9,83,75.28,5,5
3,C + SVM-RBF,73.92,86,79.33,2.5,3
4,C + SVM-Poly,73.92,86,79.33,2.5,3
5,C + SVM-Linear,73.96,86,79.28,4,4
6,C + RF,65.88,81,72.14,8,8
7,C + DT,65.92,81,72.16,7,7
8,C + KNN,69.66,84,72.21,6,6
